userId,discoveryId,clusterId,score,size,sizePercentage,entropyScore,tag,favNum,likeNum,likeTime,favTime,deviceId,platform,createTime,registerChannel,userBirthday,birthYear,appVersion,deviceModel,osVersion,channel,campaign,frequentCity,latestCity,gender,frequentProvince,latestProvince,userGroup,discoveryUserGroup,discoveryUserId,dtm
60d1c12c0000000001002104,60bd82cc000000002103d138,1,5,7,0.20588235294117646,0,ab_action,1,1,18,18,63D7A3A5-A610-4B6A-8804-0ACE57D7840A,iOS,2021-06-22,weixin,1998-01-01,1998,6.91.2,iPhone 7,12.5,NULL,NULL,泉州,泉州,1,福建,福建,普通用户组,,5bcb056338315b000142ae80,20210622
60d1e79e000000000101fd5d,60bd82cc000000002103d138,1,5,7,0.20588235294117646,0,ab_action,1,1,21,21,33DA68BC-DB05-4CD8-B6B5-8DA5125322E0,iOS,2021-06-22,weixin,1999-01-01,1999,6.91.2,iPhone 6,12.5,NULL,NULL,泉州,泉州,1,福建,福建,普通用户组,,5bcb056338315b000142ae80,20210622
60d1f8d60000000001008229,60bd82cc000000002103d138,1,5,7,0.20588235294117646,0,ab_action,1,1,22,22,2ECA1F55-FBFF-44D3-B59B-FF6BBE9DFF20,iOS,2021-06-22,weixin,2000-01-01,2000,6.91.2,iPhone 8,12.5,NULL,NULL,泉州,泉州,1,福建,福建,普通用户组,,5bcb056338315b000142ae80,20210622
60d1f6030000000001003e78,60bd82cc000000002103d138,1,5,7,0.20588235294117646,0,ab_action,1,1,22,22,94C76E7F-1C59-4675-993F-7AC316C2D772,iOS,2021-06-22,weixin,2000-01-01,2000,6.91.2,iPhone 8,12.5,NULL,NULL,泉州,泉州,1,福建,福建,普通用户组,,5bcb056338315b000142ae80,20210622
60d196570000000001003fa5,60bd82cc000000002103d138,1,5,7,0.20588235294117646,0,ab_action,1,1,15,15,DAFABD2B-345D-4583-8923-7F26DE976C0D,iOS,2021-06-22,weixin,1997-01-01,1997,6.91.2,iPhone 8,12.5,NULL,NULL,泉州,泉州,0,福建,福建,普通用户组,,5bcb056338315b000142ae80,20210622
60d1bbed00000000010084e8,60bd82cc000000002103d138,1,5,7,0.20588235294117646,0,ab_action,1,1,18,18,65431C61-1D24-480E-8668-154ABC1AB00D,iOS,2021-06-22,weixin,1998-01-01,1998,6.91.2,iPhone 8,12.5,NULL,NULL,泉州,泉州,1,福建,福建,普通用户组,,5bcb056338315b000142ae80,20210622
60d2019a000000000101f096,60bd82cc000000002103d138,1,5,7,0.20588235294117646,0,ab_action,1,1,23,23,3E54DCEA-085A-41EF-A4F5-03EFC14AACE0,iOS,2021-06-22,weixin,2000-01-01,2000,6.91.2,iPhone 8,12.5,NULL,NULL,泉州,泉州,0,福建,福建,普通用户组,,5bcb056338315b000142ae80,20210622
60bf4f600000000001005f59,60cffd24000000000102740a,1,5,19,0.24050632911392406,0.182568589380033,ab_action_like,0,1,2,NULL,CE597DE5-71C2-4C94-A50C-CFD63A443087,iOS,2021-06-08,weibo,1995-01-01,1995,6.96,iPhone 5S,12.5.1,ORGANIC,NULL,杭州,杭州,1,浙江,浙江,普通用户组,,5fbbc86d00000000010071f7,20210622
60bdb4f10000000001006437,60cffd24000000000102740a,1,5,19,0.24050632911392406,0.182568589380033,ab_action_like,0,1,16,NULL,2382FA33-3652-414D-B920-820C79C2EBFD,iOS,2021-06-07,weibo,1995-01-01,1995,6.96,iPhone 5S,12.5.1,ORGANIC,NULL,忻州,忻州,1,山西,山西,普通用户组,,5fbbc86d00000000010071f7,20210622
60bf1b310000000001003dc3,60cffd24000000000102740a,1,5,19,0.24050632911392406,0.182568589380033,ab_action_like,0,1,18,NULL,70F53AD9-839C-46A4-9E6E-C0F34F5DEA29,iOS,2021-06-08,weibo,2000-01-01,2000,6.96,iPhone 5S,12.4.8,ORGANIC,NULL,宁波,宁波,1,浙江,浙江,普通用户组,,5fbbc86d00000000010071f7,20210622
